ACID|ENTITY_CRE_FLG|DEL_FLG|CHRGE_OFF_DATE|CHRGE_OFF_PRINCIPAL|PENDING_INTEREST|PRINCIPAL_RECOVERY|INTEREST_RECOVERY|DATE_NON_ACCRUE|INT_SUSPENSE_AMT|PENAL_INT_SUSPENSE_AMT|LCHG_USER_ID|LCHG_TIME|RCRE_USER_ID|RCRE_TIME|TS_CNT|REASON_CODE|ACCRUED_INT_RECOVERY|WAIVED_ACCRUED_AMT|COLLATERAL_VALUE|CHARGE_OFF_TYPE|MODE_OF_OPER|PROVISION_AMT|DEFERRED_INT_AMT|HLDY_PERD_INT_AMT|EMICAP_DEFERRED_INT|CHRGOFF_NONPASTDUE_FLG|BANK_ID|ACCRUED_PENAL_INT_RECOVERY|PENAL_INT_RECOVERY|COLL_INT_RECOVERY|COLL_PENAL_INT_RECOVERY
011854846|Y|N|2012-11-15 00:00:00.0|1|0|0|0||0|0|SYSTEM|2012-12-15 09:04:46.0|SYSTEM|2012-12-15 09:04:46.0|0||0|0|0|F||0|0|0|0||01|0|0|0|0
011854849|Y|N||0|0|0|0||28,906.82|0|12479|2019-07-10 19:44:49.0|SYSTEM|2012-12-15 09:04:46.0|2||0|0|0|||0|0|0|0||01|0|0|2,433|0
011855574|Y|N||0|0|0|0||0|0|03061|2015-04-17 15:49:19.0|SYSTEM|2012-12-15 09:05:16.0|892||0|0|0|||0|0|0|0||01|0|0|12,885.51|0
011855636|Y|N||0|0|0|0||13,009.27|0.39|C10102|2019-08-23 03:32:02.0|SYSTEM|2012-12-15 09:05:18.0|2,502||0|0|0|||0|0|0|0||01|0|0|0|0
011855657|Y|N|2018-07-04 00:00:00.0|191,448.79|0|191,448.79|0||0|-0.7|03740|2018-07-04 18:58:40.0|SYSTEM|2012-12-15 09:05:19.0|2,040||0|0|946,000|F|C|0|0|0|0||01|0|0|487,474.52|44,865
011855659|Y|N||0|0|0|0||0|0|C0068|2013-03-25 13:26:54.0|SYSTEM|2012-12-15 09:05:19.0|110||0|0|0|||0|0|0|0||01|0|0|95,331.49|0
011855670|Y|N||0|0|0|0||0|0.17|03019|2014-03-25 17:55:12.0|SYSTEM|2012-12-15 09:05:20.0|486||0|0|0|||0|0|0|0||01|0|0|72,301.39|0
011855684|Y|N|2013-06-07 00:00:00.0|426,626.43|14,623|0|0||14,623|1.15|02456|2013-06-07 18:39:18.0|SYSTEM|2012-12-15 09:05:20.0|184||0|0|6,900,000|F|C|0|0|0|0||01|0|0|681,586.11|98,912
011855705|Y|N||0|0|0|0||0|0|00654|2018-07-31 18:55:33.0|SYSTEM|2012-12-15 09:05:21.0|2,127||0|0|0|||0|0|0|0||01|0|0|290,680.32|0
011855720|Y|N||0|0|0|0||25,024.15|59.72|C10102|2019-08-23 03:32:35.0|SYSTEM|2012-12-15 09:05:21.0|2,501||0|0|0|||0|0|0|0||01|0|0|0|0
011855739|Y|N||0|0|0|0||15,454.1|92.43|C10102|2019-08-23 03:32:18.0|SYSTEM|2012-12-15 09:05:22.0|2,500||0|0|0|||0|0|0|0||01|0|0|0|0
011855740|Y|N|2018-03-21 00:00:00.0|16,312.3|0|16,312.3|0||0|0.13|00964|2018-03-21 13:22:31.0|SYSTEM|2012-12-15 09:05:22.0|1,987||0|0|50,000|F|C|0|0|0|0||01|0|0|18,903.36|241
011855747|Y|N||0|0|0|0||7,062.18|-1.04|C10102|2019-08-23 03:32:17.0|SYSTEM|2012-12-15 09:05:22.0|2,507||0|0|0|||0|0|0|0||01|0|0|473.52|480
011855750|Y|N|2016-07-27 00:00:00.0|859.92|2,839.08|859.92|0||2,839.08|4.1|07954|2016-07-27 20:10:46.0|SYSTEM|2012-12-15 09:05:22.0|801|2|0|0|50,000|F|C|0|0|0|0||01|0|0|3,559.86|1,594
011855780|Y|N||0|0|0|0||0|0|03024|2013-01-02 18:33:05.0|SYSTEM|2012-12-15 09:05:23.0|23||0|0|0|||0|0|0|0||01|0|0|1,435.96|15
011855782|Y|N|2018-03-21 00:00:00.0|38,399.14|0|38,399.14|0||0|3.47|09575|2018-03-21 13:28:29.0|SYSTEM|2012-12-15 09:05:23.0|1,988||0|0|55,000|F|C|0|0|0|0||01|0|0|60,015.06|896
011855783|Y|N|2018-03-26 00:00:00.0|26,722.66|0|26,722.66|0||0|0.19|03740|2018-03-26 17:46:25.0|SYSTEM|2012-12-15 09:05:23.0|1,993||0|0|54,000|F|C|0|0|0|0||01|0|0|55,562.6|402
011855785|Y|N||0|0|0|0||18,546.37|133.95|C10102|2019-08-23 03:32:17.0|SYSTEM|2012-12-15 09:05:23.0|2,501||0|0|0|||0|0|0|0||01|0|0|0|0
011855786|Y|N||0|0|0|0||14,955.05|6.71|C10102|2019-08-23 03:32:17.0|SYSTEM|2012-12-15 09:05:23.0|2,502||0|0|0|||0|0|0|0||01|0|0|2,271.36|40
011855803|Y|N||0|0|0|0||17,874.57|228.5|C10102|2019-08-23 03:32:17.0|SYSTEM|2012-12-15 09:05:24.0|2,501||0|0|0|||0|0|0|0||01|0|0|0|0
011855804|Y|N||0|0|0|0||23,966.62|339.92|C10102|2019-08-23 03:32:18.0|SYSTEM|2012-12-15 09:05:24.0|2,501||0|0|0|||0|0|0|0||01|0|0|0|0
011855806|Y|N||0|0|0|0||32,779.76|126.26|C10102|2019-08-23 03:32:35.0|SYSTEM|2012-12-15 09:05:24.0|2,501||0|0|0|||0|0|0|0||01|0|0|0|0
011855812|Y|N|2018-03-21 00:00:00.0|20,863.53|0|20,863.53|0||0|14.96|00964|2018-03-21 13:24:19.0|SYSTEM|2012-12-15 09:05:24.0|1,989||0|0|50,000|F|C|0|0|0|0||01|0|0|28,186.54|220
011855850|Y|N||0|0|0|0||24,842.75|609.99|C10102|2019-08-23 03:32:14.0|SYSTEM|2012-12-15 09:05:25.0|2,500||0|0|0|||0|0|0|0||01|0|0|0|0
011855869|Y|N||0|0|0|0||0|0|02541|2013-07-05 18:03:48.0|SYSTEM|2012-12-15 09:05:26.0|215||0|0|0|||0|0|0|0||01|0|0|1,012.56|98
011855879|Y|N|2018-03-21 00:00:00.0|23,836.31|0|23,836.31|0||0|2.29|09575|2018-03-23 11:43:01.0|SYSTEM|2012-12-15 09:05:26.0|1,987||0|0|50,000|F|C|0|0|0|0||01|0|0|29,343.73|453
011855885|Y|N||0|0|0|0||723,451.65|529.23|C10102|2019-08-23 03:32:26.0|SYSTEM|2012-12-15 09:05:26.0|2,500||0|0|0|||0|0|0|0||01|0|0|0|0
011855894|Y|N||0|0|0|0||31,207.94|-2.46|C10102|2019-08-23 03:32:18.0|SYSTEM|2012-12-15 09:05:27.0|2,502||0|0|0|||0|0|0|0||01|0|0|500|0
011855916|Y|N||0|0|0|0||0|0|03061|2015-02-21 11:41:16.0|SYSTEM|2012-12-15 09:05:27.0|827||0|0|0|||0|0|0|0||01|0|0|10,058.02|0
011855923|Y|N|2018-03-21 00:00:00.0|9,711.9|0|9,711.9|0||0|8.23|00964|2018-03-21 13:20:07.0|SYSTEM|2012-12-15 09:05:28.0|1,986||0|0|50,000|F|C|0|0|0|0||01|0|0|11,231.81|0
011855952|Y|N|2015-05-13 00:00:00.0|48,620.55|35,358|48,620.55|0||35,358|0.68|06422|2015-05-13 15:28:37.0|SYSTEM|2012-12-15 09:05:29.0|915|2|0|0|600,000|F|C|0|0|0|0||01|0|0|52,702.94|0
011855956|Y|N|2017-03-31 00:00:00.0|128,400.14|0|128,400.14|0||0|0.94|06422|2017-03-31 23:11:59.0|SYSTEM|2012-12-15 09:05:29.0|1,624|2|0|0|0|F|C|0|0|0|0||01|0|0|178,773.23|0
011856016|Y|N|2018-07-31 00:00:00.0|2,376,035.43|3,152,904.04|2,376,035.43|0||3,152,904.04|-0.63|00654|2018-07-31 20:48:57.0|SYSTEM|2012-12-15 09:05:31.0|2,129|2|0|0|3,650,000|F|C|0|0|0|0||01|0|0|0|0
011856053|Y|N||0|0|0|0||29,583.99|76.47|C10102|2019-08-23 03:32:23.0|SYSTEM|2012-12-15 09:05:32.0|2,499||0|0|0|||0|0|0|0||01|0|0|0|0
011856074|Y|N||0|0|0|0||8,836.05|48.92|C10102|2019-08-23 03:32:27.0|SYSTEM|2012-12-15 09:05:33.0|2,500||0|0|0|||0|0|0|0||01|0|0|0|0
011856080|Y|N|2018-03-21 00:00:00.0|5,284.71|0|5,284.71|0||0|-7.88|00964|2018-03-21 13:20:45.0|SYSTEM|2012-12-15 09:05:33.0|1,987||0|0|43,000|F|C|0|0|0|0||01|0|0|6,079|0
011856196|Y|N|2015-09-24 00:00:00.0|59,119.05|25,436|59,119.05|0||25,436|0.05|06422|2015-09-24 17:07:55.0|SYSTEM|2012-12-15 09:05:37.0|1,054|2|0|0|557,669|F|C|0|0|0|0||01|0|0|52,567.06|0
011856234|Y|N||0|0|0|0||917,130.28|-0.05|C10102|2019-08-23 03:32:01.0|SYSTEM|2012-12-15 09:05:39.0|2,449||0|0|0|||0|0|0|0||01|0|0|0|0
011856636|Y|N||0|0|0|0||57,181.27|1,252.62|SYSTEM|2012-12-15 09:05:54.0|SYSTEM|2012-12-15 09:05:54.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011856664|Y|N||0|0|0|0||648.53|0|SYSTEM|2012-12-15 09:05:55.0|SYSTEM|2012-12-15 09:05:55.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011856667|Y|N||0|0|0|0||1,330.49|13.79|C10102|2019-08-23 03:31:55.0|SYSTEM|2012-12-15 09:05:55.0|2,499||0|0|0|||0|0|0|0||01|0|0|0|0
011856675|Y|N||0|0|0|0||1.11|0|C10102|2019-08-23 03:31:55.0|SYSTEM|2012-12-15 09:05:56.0|1,392||0|0|0|||0|0|0|0||01|0|0|0|0
011856681|Y|N||0|0|0|0||-0.15|0|C10102|2019-08-23 03:31:55.0|SYSTEM|2012-12-15 09:05:56.0|1,392||0|0|0|||0|0|0|0||01|0|0|0|0
011856682|Y|N|2016-07-27 00:00:00.0|15,764|85,473.42|15,764|0||85,473.42|0.49|06422|2016-07-27 11:54:07.0|SYSTEM|2012-12-15 09:05:56.0|12||0|0|0|F|C|0|0|0|0||01|0|0|10,000|0
011856683|Y|N||0|0|0|0||2,949.93|0|03019|2013-12-06 16:39:54.0|SYSTEM|2012-12-15 09:05:56.0|2||0|0|0|||0|0|0|0||01|0|0|1,100|0
011856693|Y|N|2016-08-06 00:00:00.0|787.76|129|787.76|0||0|-0.15|03061|2016-08-06 15:28:50.0|SYSTEM|2012-12-15 09:05:57.0|175||0|0|41,900|F|C|0|0|0|0||01|0|0|2,631.76|577
011856719|Y|N|2016-07-28 00:00:00.0|3,791|1,780|3,791|0||1,780|-1.36|07954|2016-07-28 19:51:34.0|SYSTEM|2012-12-15 09:05:57.0|426||0|0|5,000|F|C|0|0|0|0||01|0|0|1,442|0
011856720|Y|N|2012-08-30 00:00:00.0|0|0|0|0||0|0|SYSTEM|2012-12-15 09:05:58.0|SYSTEM|2012-12-15 09:05:58.0|0||0|0|0|F||0|0|0|0||01|0|0|0|0
011856722|Y|N|2016-07-28 00:00:00.0|3,813.44|2,042|3,813.44|0||2,042|0.47|07954|2016-07-28 19:49:49.0|SYSTEM|2012-12-15 09:05:58.0|12||0|0|8,620|F|C|0|0|0|0||01|0|0|3,754.44|0
011856732|Y|N|2016-07-27 00:00:00.0|343|1,246.07|343|0||1,246.07|0.31|07954|2016-07-27 18:37:49.0|SYSTEM|2012-12-15 09:05:58.0|12|2|0|0|20,000|F|C|0|0|0|0||01|0|0|500|0
011856736|Y|N|2012-11-05 00:00:00.0|740|0|0|0||0|0|SYSTEM|2012-12-15 09:05:58.0|SYSTEM|2012-12-15 09:05:58.0|0||0|0|0|F||0|0|0|0||01|0|0|0|0
011856737|Y|N||0|0|0|0||-0.15|0|C10102|2019-08-23 03:31:55.0|SYSTEM|2012-12-15 09:05:58.0|1,392||0|0|0|||0|0|0|0||01|0|0|0|0
011856738|Y|N||0|0|0|0||-0.13|0|C10102|2019-08-23 03:31:55.0|SYSTEM|2012-12-15 09:05:58.0|1,392||0|0|0|||0|0|0|0||01|0|0|0|0
011856739|Y|N||0|0|0|0||-0.15|0|C10102|2019-08-23 03:31:55.0|SYSTEM|2012-12-15 09:05:58.0|1,392||0|0|0|||0|0|0|0||01|0|0|0|0
011856743|Y|N|2016-07-27 00:00:00.0|25,097.22|12,218|25,097.22|0||12,218|0.68|07954|2016-07-27 18:33:24.0|SYSTEM|2012-12-15 09:05:59.0|13|2|0|0|50,000|F|C|0|0|0|0||01|0|0|21,849.22|0
011856744|Y|N|2016-07-27 00:00:00.0|4,108.96|3,456.37|4,108.96|0||3,456.37|-0.67|07954|2016-07-27 18:53:31.0|SYSTEM|2012-12-15 09:05:59.0|84|2|0|0|50,000|F|C|0|0|0|0||01|0|0|4,409|0
011856745|Y|N|2016-07-27 00:00:00.0|4,489.47|1,947|4,489.47|0||1,947|-0.01|07954|2016-07-27 19:15:19.0|SYSTEM|2012-12-15 09:05:59.0|126||0|0|42,000|F|C|0|0|0|0||01|0|0|2,999.47|0
011856746|Y|N||0|0|0|0||27,853.75|96.72|C10102|2019-08-23 03:31:55.0|SYSTEM|2012-12-15 09:05:59.0|1,392||0|0|0|||0|0|0|0||01|0|0|0|0
011856747|Y|N|2016-07-28 00:00:00.0|3,743|2,417.66|3,743|0||2,417.66|-0.06|07954|2016-07-28 19:51:19.0|SYSTEM|2012-12-15 09:05:59.0|12||0|0|5,000|F|C|0|0|0|0||01|0|0|3,000|0
011856749|Y|N||0|0|0|0||41,877.13|1,182.49|SYSTEM|2012-12-15 09:05:59.0|SYSTEM|2012-12-15 09:05:59.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011856755|Y|N|2016-07-28 00:00:00.0|4,955|3,279.83|4,955|0||3,279.83|0.07|07954|2016-07-28 19:50:25.0|SYSTEM|2012-12-15 09:05:59.0|13||0|0|5,000|F|C|0|0|0|0||01|0|0|4,000|0
011856756|Y|N||0|0|0|0||3,684.28|0|03019|2013-11-30 17:32:13.0|SYSTEM|2012-12-15 09:05:59.0|1||0|0|0|||0|0|0|0||01|0|0|10|0
011857523|Y|N||0|0|0|0||47,354.75|821.9|SYSTEM|2012-12-15 09:06:29.0|SYSTEM|2012-12-15 09:06:29.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011857524|Y|N||0|0|0|0||0|0|00964|2018-03-27 12:09:55.0|SYSTEM|2012-12-15 09:06:29.0|1,991||0|0|0|||0|0|0|0||01|0|0|50,875.06|0
011857525|Y|N||0|0|0|0||0.19|0|SYSTEM|2012-12-15 09:06:29.0|SYSTEM|2012-12-15 09:06:29.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011857526|Y|N||0|0|0|0||0.19|0|SYSTEM|2012-12-15 09:06:29.0|SYSTEM|2012-12-15 09:06:29.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011857527|Y|N||0|0|0|0||0.19|0|SYSTEM|2012-12-15 09:06:29.0|SYSTEM|2012-12-15 09:06:29.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
